ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
45.0 0.0 613.6 1598.8 272.40886 20.62518 0.01893 0.0028 4.54355531539 -0.01577 0.00429847647429 0.01047 0.00463492179006 17.51592 0.20339
45.0 1.0 621.3 1601.8 272.40862 20.62537 0.01442 0.00281 0.1032 -0.01139 0.00254 0.00883 0.00321 16.2696 0.03409
45.0 3.0 622.6 1604.0 272.40887 20.62524 0.01277 0.0035 0.1123 -0.00204 0.00285 0.01261 0.00352 16.42323 0.04189
45.0 4.0 618.3 1604.5 272.40886 20.62519 0.00806 0.00241 0.1672 -0.00719 0.0023 0.00364 0.00279 16.23659 0.08854
45.0 5.0 621.6 1610.0 272.40887 20.62524 0.01319 0.00441 0.1404 -0.00422 0.0036 0.0125 0.00449 16.47081 0.04499
45.0 6.0 613.1 1605.8 272.40869 20.62535 0.01871 0.00273 0.0912 -0.01854 0.00272 0.00254 0.00343 16.22513 0.03435
45.0 7.0 613.6 1602.8 272.40886 20.62515 0.01909 0.0027 0.0873 -0.01845 0.00264 0.00491 0.00338 16.20389 0.03391
45.0 9.0 609.6 1600.0 272.40862 20.62539 0.01908 0.00227 0.0715 -0.01869 0.00225 0.00387 0.00275 nan nan
45.0 10.0 622.8 1605.5 272.40886 20.62519 0.03259 0.00494 0.0712 0.01894 0.00431 0.02652 0.00524 16.41575 0.05568
45.0 11.0 618.1 1607.0 272.40886 20.62519 0.01071 0.00203 0.1182 -0.01071 0.00203 5e-05 0.00253 16.24755 0.05834
45.0 12.0 619.8 1599.5 272.40893 20.62514 0.01882 0.0032 0.085 -0.01335 0.00293 0.01326 0.00345 16.2867 0.07529
45.0 13.0 605.8 1602.5 272.40887 20.62519 0.04044 0.00532 0.0689 -0.03125 0.00477 0.02566 0.00606 16.40286 0.04021
45.0 16.0 614.3 1605.8 272.40883 20.6252 0.0172 0.00502 0.1212 -0.00535 0.00406 0.01635 0.00511 16.44929 0.04553
45.0 17.0 623.1 1609.0 272.40885 20.62524 0.01511 0.00488 0.1418 -0.00723 0.00401 0.01327 0.00511 16.45713 0.06299
45.0 18.0 620.3 1610.5 272.40859 20.62534 0.0212 0.0042 0.0795 -0.00485 0.00331 0.02063 0.00425 16.454 0.03604
45.0 20.0 611.1 1603.5 272.40894 20.62512 0.0227 0.00602 0.1306 -0.01549 0.0053 0.01659 0.00658 16.38264 0.05987
45.0 21.0 618.6 1605.5 272.40886 20.6252 0.05187 0.00728 0.0789 0.04702 0.007 0.0219 0.00843 16.33974 0.05094
45.0 22.0 609.6 1602.8 272.40778 20.62605 0.01658 0.00239 0.0846 -0.01485 0.00223 0.00737 0.00293 nan nan
45.0 23.0 618.1 1602.8 272.40891 20.62523 0.01707 0.00227 0.0707 -0.01363 0.00207 0.01027 0.00259 nan nan
45.0 24.0 618.8 1604.8 272.40886 20.62515 0.01397 0.00383 0.1647 -0.01234 0.00348 -0.00654 0.00487 16.30349 0.06632
45.0 25.0 618.3 1605.8 272.40888 20.6252 0.02293 0.00525 0.1028 -0.01165 0.0044 0.01975 0.00551 16.81522 0.31922
45.0 27.0 616.3 1608.8 272.40888 20.6252 0.02594 0.00685 0.1128 0.0117 0.00547 0.02315 0.00716 16.43564 0.06614
45.0 28.0 619.3 1605.8 272.40872 20.62533 0.02064 0.00239 0.0661 -0.01917 0.00232 0.00763 0.00279 16.32981 0.07826
45.0 29.0 618.6 1605.5 272.4087 20.62534 0.02517 0.00648 0.1099 -0.0082 0.00539 0.0238 0.0066 16.40528 0.04629
45.0 32.0 617.8 1607.5 272.40871 20.62534 0.0175 0.00337 0.1048 -0.01507 0.0032 0.00889 0.00382 16.26954 0.06677
